UUID,JOBDIR,JOBNAME,JOBDESC,SHLPATH
cd256b11-df6c-4ca5-9c60-45e78924ddff,batch/unit/create_contents,truncate_tmp_filtering_newest_cafeinfo,駅カフェ情報最新データ抽出テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_tmp_filtering_newest_cafeinfo.sh
9296263d-1aa8-44b2-b853-0a0bc4fa8f35,batch/unit/create_contents,filtering_newest_cafeinfo,駅カフェ情報最新データ抽出,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/filtering_newest_cafeinfo.sh
a7a34ee9-cca1-4592-a40c-e70accd676de,batch/unit/create_contents,truncate_tmp_merge_stationinfo,駅情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_tmp_merge_stationinfo.sh
dacf5377-9336-4a0f-beb2-2bd519c68430,batch/unit/create_contents,merge_stationinfo,駅情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_stationinfo.sh
fd701daf-8b20-4510-a23b-70ab6bdc4aab,batch/unit/create_contents,truncate_tmp_merge_joininfo,接続駅情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_tmp_merge_joininfo.sh
12efbd77-7a74-4644-b89e-98b9817a7195,batch/unit/create_contents,merge_joininfo,接続駅情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_joininfo.sh
0001e490-cbbb-4261-9641-4ba918acfb5e,batch/unit/create_contents,truncate_tmp_merge_lineinfo,路線情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_tmp_merge_lineinfo.sh
7da70ddb-c542-448c-9bbc-2616da772df8,batch/unit/create_contents,merge_lineinfo,路線情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_lineinfo.sh
96490762-bd1c-43e6-ad2c-fd41b5d60c80,batch/unit/create_contents,truncate_tmp_merge_companyinfo,事業者情報併合テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_tmp_merge_companyinfo.sh
71e3ed11-fb6f-45ea-a5e2-e68d8f8066a9,batch/unit/create_contents,merge_companyinfo,事業者情報併合,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/merge_companyinfo.sh
dcb084eb-3c46-48df-9979-c9be38b5f08b,batch/unit/create_contents,truncate_page_contents,ページコンテンツテーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/truncate_page_contents.sh
cd29ae7b-95d8-4c11-9f5d-90573ab4d06b,batch/unit/create_contents,insert_page_contents,ページコンテンツテーブル挿入,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/insert_page_contents.sh
b3078f59-9eec-4fac-9570-0e484436644e,batch/unit/create_contents,export_page_contents_csv,ページコンテンツCSV出力,/usr/local/gitrepos/cafe-train-prj/batch/shell/create_contents/export_page_contents_csv.sh
